Query ID,Best ID,Search DB,,
ASV_201,2012,COI FULL DATABASE (includes records without species designation),99.35,89.97
ASV_202,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),98.77,90.8
ASV_203,No match,COI FULL DATABASE (includes records without species designation),,
ASV_204,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.98
ASV_205,Dermaptera,COI FULL DATABASE (includes records without species designation),98.94,85.39
ASV_206,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.35,97.09
ASV_207,No match,COI FULL DATABASE (includes records without species designation),,
ASV_208,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.45
ASV_209,No match,COI FULL DATABASE (includes records without species designation),,
ASV_210,No match,COI FULL DATABASE (includes records without species designation),,
ASV_211,Agonoxena argaula,COI FULL DATABASE (includes records without species designation),100,89.32
ASV_212,No match,COI FULL DATABASE (includes records without species designation),,
ASV_213,No match,COI FULL DATABASE (includes records without species designation),,
ASV_214,No match,COI FULL DATABASE (includes records without species designation),,
ASV_215,No match,COI FULL DATABASE (includes records without species designation),,
ASV_216,No match,COI FULL DATABASE (includes records without species designation),,
ASV_217,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_218,No match,COI FULL DATABASE (includes records without species designation),,
ASV_219,Hemiptera,COI FULL DATABASE (includes records without species designation),98.6,85.37
ASV_220,No match,COI FULL DATABASE (includes records without species designation),,
ASV_221,No match,COI FULL DATABASE (includes records without species designation),,
ASV_222,No match,COI FULL DATABASE (includes records without species designation),,
ASV_223,No match,COI FULL DATABASE (includes records without species designation),,
ASV_224,Neurospora crassa,COI FULL DATABASE (includes records without species designation),97.41,84.04
ASV_225,Araneae,COI FULL DATABASE (includes records without species designation),99.33,85.39
ASV_226,No match,COI FULL DATABASE (includes records without species designation),,
ASV_227,No match,COI FULL DATABASE (includes records without species designation),,
ASV_228,No match,COI FULL DATABASE (includes records without species designation),,
ASV_229,No match,COI FULL DATABASE (includes records without species designation),,
ASV_230,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.6
ASV_231,No match,COI FULL DATABASE (includes records without species designation),,
ASV_232,No match,COI FULL DATABASE (includes records without species designation),,
