Query ID,Best ID,Search DB,,
ASV_401,No match,COI FULL DATABASE (includes records without species designation),,
ASV_402,No match,COI FULL DATABASE (includes records without species designation),,
ASV_403,No match,COI FULL DATABASE (includes records without species designation),,
ASV_404,No match,COI FULL DATABASE (includes records without species designation),,
ASV_405,No match,COI FULL DATABASE (includes records without species designation),,
ASV_406,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_407,No match,COI FULL DATABASE (includes records without species designation),,
ASV_408,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.58
ASV_409,No match,COI FULL DATABASE (includes records without species designation),,
ASV_410,No match,COI FULL DATABASE (includes records without species designation),,
ASV_411,No match,COI FULL DATABASE (includes records without species designation),,
ASV_412,No match,COI FULL DATABASE (includes records without species designation),,
ASV_413,No match,COI FULL DATABASE (includes records without species designation),,
ASV_414,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_415,2014a,COI FULL DATABASE (includes records without species designation),100,80.91
ASV_416,No match,COI FULL DATABASE (includes records without species designation),,
ASV_417,No match,COI FULL DATABASE (includes records without species designation),,
ASV_418,No match,COI FULL DATABASE (includes records without species designation),,
ASV_419,No match,COI FULL DATABASE (includes records without species designation),,
ASV_420,Orthoptera,COI FULL DATABASE (includes records without species designation),99.52,85.71
ASV_421,Liposcelis bostrychophila,COI FULL DATABASE (includes records without species designation),100,79.61
ASV_422,No match,COI FULL DATABASE (includes records without species designation),,
ASV_423,No match,COI FULL DATABASE (includes records without species designation),,
ASV_424,No match,COI FULL DATABASE (includes records without species designation),,
ASV_425,No match,COI FULL DATABASE (includes records without species designation),,
ASV_426,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_427,No match,COI FULL DATABASE (includes records without species designation),,
ASV_428,No match,COI FULL DATABASE (includes records without species designation),,
ASV_429,Mus musculus,COI FULL DATABASE (includes records without species designation),99.28,98.71
ASV_430,No match,COI FULL DATABASE (includes records without species designation),,
ASV_431,No match,COI FULL DATABASE (includes records without species designation),,
ASV_432,No match,COI FULL DATABASE (includes records without species designation),,
ASV_433,No match,COI FULL DATABASE (includes records without species designation),,
ASV_434,No match,COI FULL DATABASE (includes records without species designation),,
ASV_435,No match,COI FULL DATABASE (includes records without species designation),,
ASV_436,No match,COI FULL DATABASE (includes records without species designation),,
ASV_437,No match,COI FULL DATABASE (includes records without species designation),,
ASV_438,No match,COI FULL DATABASE (includes records without species designation),,
ASV_439,Araneae,COI FULL DATABASE (includes records without species designation),99.63,82.2
ASV_440,Araneae,COI FULL DATABASE (includes records without species designation),99.35,84.89
ASV_441,No match,COI FULL DATABASE (includes records without species designation),,
ASV_442,No match,COI FULL DATABASE (includes records without species designation),,
ASV_443,No match,COI FULL DATABASE (includes records without species designation),,
ASV_444,No match,COI FULL DATABASE (includes records without species designation),,
ASV_445,No match,COI FULL DATABASE (includes records without species designation),,
ASV_446,Salmo salar,COI FULL DATABASE (includes records without species designation),100,100
ASV_447,No match,COI FULL DATABASE (includes records without species designation),,
ASV_448,No match,COI FULL DATABASE (includes records without species designation),,
ASV_449,No match,COI FULL DATABASE (includes records without species designation),,
ASV_450,No match,COI FULL DATABASE (includes records without species designation),,
ASV_451,No match,COI FULL DATABASE (includes records without species designation),,
ASV_452,No match,COI FULL DATABASE (includes records without species designation),,
ASV_453,No match,COI FULL DATABASE (includes records without species designation),,
ASV_454,Linepithema humile,COI FULL DATABASE (includes records without species designation),100,100
ASV_455,No match,COI FULL DATABASE (includes records without species designation),,
ASV_456,No match,COI FULL DATABASE (includes records without species designation),,
ASV_457,No match,COI FULL DATABASE (includes records without species designation),,
ASV_458,No match,COI FULL DATABASE (includes records without species designation),,
ASV_459,No match,COI FULL DATABASE (includes records without species designation),,
ASV_460,No match,COI FULL DATABASE (includes records without species designation),,
ASV_461,Mus musculus,COI FULL DATABASE (includes records without species designation),99.28,98.71
ASV_462,No match,COI FULL DATABASE (includes records without species designation),,
ASV_463,No match,COI FULL DATABASE (includes records without species designation),,
ASV_464,No match,COI FULL DATABASE (includes records without species designation),,
ASV_465,No match,COI FULL DATABASE (includes records without species designation),,
ASV_466,No match,COI FULL DATABASE (includes records without species designation),,
ASV_467,Chordata Mammalia ,COI FULL DATABASE (includes records without species designation),99.35,98.71
ASV_468,No match,COI FULL DATABASE (includes records without species designation),,
ASV_469,No match,COI FULL DATABASE (includes records without species designation),,
ASV_470,No match,COI FULL DATABASE (includes records without species designation),,
ASV_471,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),98.31,94.92
ASV_472,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.38,90.2
ASV_473,No match,COI FULL DATABASE (includes records without species designation),,
ASV_474,No match,COI FULL DATABASE (includes records without species designation),,
ASV_475,No match,COI FULL DATABASE (includes records without species designation),,
ASV_476,No match,COI FULL DATABASE (includes records without species designation),,
ASV_477,No match,COI FULL DATABASE (includes records without species designation),,
ASV_478,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_479,No match,COI FULL DATABASE (includes records without species designation),,
ASV_480,No match,COI FULL DATABASE (includes records without species designation),,
ASV_481,Rhodotorula taiwanensis RS1,COI FULL DATABASE (includes records without species designation),97.41,76.63
ASV_482,No match,COI FULL DATABASE (includes records without species designation),,
ASV_483,No match,COI FULL DATABASE (includes records without species designation),,
ASV_484,No match,COI FULL DATABASE (includes records without species designation),,
ASV_485,No match,COI FULL DATABASE (includes records without species designation),,
ASV_486,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),98.06,90
ASV_487,Periplaneta australasiae,COI FULL DATABASE (includes records without species designation),100,92.23
ASV_488,No match,COI FULL DATABASE (includes records without species designation),,
ASV_489,No match,COI FULL DATABASE (includes records without species designation),,
ASV_490,No match,COI FULL DATABASE (includes records without species designation),,
ASV_491,No match,COI FULL DATABASE (includes records without species designation),,
ASV_492,No match,COI FULL DATABASE (includes records without species designation),,
ASV_493,No match,COI FULL DATABASE (includes records without species designation),,
ASV_494,No match,COI FULL DATABASE (includes records without species designation),,
ASV_495,No match,COI FULL DATABASE (includes records without species designation),,
ASV_496,No match,COI FULL DATABASE (includes records without species designation),,
ASV_497,No match,COI FULL DATABASE (includes records without species designation),,
ASV_498,No match,COI FULL DATABASE (includes records without species designation),,
ASV_499,No match,COI FULL DATABASE (includes records without species designation),,
ASV_500,No match,COI FULL DATABASE (includes records without species designation),,
