ID,Amount_ug,d15N,Wt.% N,d13C,Wt.% C,Year
Castor 1,580.4,19,12.18,-23.39,42.18,2015
Castor 10,527.4,14.58,12,-23.72,41.53,2015
Castor 2,438.9,17.14,10.94,-24.06,38.46,2015
Castor 3,561.8,16.83,11.36,-24,39.74,2015
Castor 4,592.9,16.79,12.01,-22.89,43.04,2015
Castor 5,701,15.6,12.35,-24.42,44.21,2015
Castor 6,658.6,15.71,12.68,-24.19,45.41,2015
Castor 7,532.7,15.43,11.88,-24.6,42.8,2015
Castor 8,618.8,15.7,11.81,-22.67,41.32,2015
Castor 9,540.1,15.67,11.92,-23.56,41.18,2015
Dudley 1,518.7,19.2,11.81,-26.42,42.78,2015
Dudley 10,582,19.02,12.72,-25.65,43.7,2015
Dudley 2,514.7,18.32,12.35,-25.74,44.34,2015
Dudley 3,511.5,19.89,12.48,-26.34,45.12,2015
Dudley 4,579.5,17.78,12.22,-25.73,42.55,2015
Dudley 5,647,18.29,12.73,-25.18,43.32,2015
Dudley 6,637.2,17.25,12.33,-25.57,44.15,2015
Dudley 7,696.9,17.71,12.61,-25.42,42.58,2015
Dudley 8,529.9,19.28,12.67,-25.64,43.93,2015
Dudley 9,616.1,18.24,12.48,-25.27,42.95,2015
Fern 1,548.1,14.91,12.15,-23.44,44.16,2015
Fern 10,639.3,16.34,12.77,-23.05,43.19,2015
Fern 11,637.4,17.83,12.21,-23.03,43.82,2015
Fern 12,660.9,17.42,12.23,-24.42,42.31,2015
Fern 2,516.6,16.54,11.68,-23.53,40.26,2015
Fern 3,544.9,16.74,13.24,-24.9,45.23,2015
Fern 4,586.8,16.14,12.62,-22.15,42.84,2015
Fern 5,599.4,17.14,11.76,-21.67,40.88,2015
Fern 6,669.4,16.33,12.4,-23.83,42.64,2015
Fern 7,670.8,15.65,12.33,-22.33,44.18,2015
Fern 8,642.6,15.98,12.3,-23.58,43.4,2015
Fern 9,608.8,15.76,12.71,-22.63,44.34,2015
Leslie 10,509.6,22.95,12.45,-25.46,43.84,2015
Leslie 11,620.7,24.15,12.16,-23.31,42.27,2015
Leslie 11,545.9,21.02,12.96,-24.92,43.83,2015
Leslie 12,636.5,21.39,12.48,-24.57,42.14,2015
Leslie 13,575.9,22.49,12.05,-24.67,42.04,2015
Leslie 2,512.5,21.7,12.18,-24.64,42.83,2015
Leslie 3,518.8,21.55,12.49,-24.33,43.82,2015
Leslie 4,492.2,20.4,12.59,-25.26,42.38,2015
Leslie 5,522.2,22.2,12.67,-24.45,44.54,2015
Leslie 6,573.1,21.19,11.64,-24.77,42.22,2015
Leslie 7,485.2,20.68,12.25,-24.67,43.55,2015
Leslie 8,480.8,22.82,12.53,-23.43,44.89,2015
Leslie 9,536.2,24.51,12.62,-23.27,43.55,2015
Lost 1,685.5,24.16,12.09,-24.49,41.25,2015
Lost 10,586.8,24.23,12.17,-24.67,42.67,2015
Lost 2,547.2,23.86,12.55,-25.03,45.28,2015
Lost 3,583.2,24.22,12.4,-23.95,43.43,2015
Lost 4,658.9,24.41,12.55,-23.74,43.64,2015
Lost 5,567,23.55,12.31,-24.63,43.34,2015
Lost 6,635.9,22.83,12.28,-23.34,42.41,2015
Lost 7,585.9,24.28,12.07,-23.75,42.52,2015
Lost 8,541.5,24.08,12.34,-24.97,43.15,2015
Lost 9,565.1,25.85,12.02,-24.11,42.8,2015
Paradise 1,485.5,14.83,12.25,-20.93,42.05,2015
Paradise 10,524.6,15.03,12.02,-21.83,41.94,2015
Paradise 2,507.4,12.6,12.01,-23.7,41.93,2015
Paradise 3,527.8,13.64,12.21,-21.79,43.7,2015
Paradise 4,539,13.16,11.93,-22.46,42.68,2015
Paradise 5,538.9,13.97,12.44,-21.02,43.46,2015
Paradise 6,542,14.03,12.02,-22.79,42.56,2015
Paradise 7,513.9,13.24,11.1,-23.02,39.62,2015
Paradise 8,489.6,13.45,11.68,-23.64,40.96,2015
Paradise 9,497.1,13.39,11.73,-22.18,41.93,2015
Sand 1,651.9,25.44,12.71,-23.83,42.9,2015
Sand 10,623.4,21.91,12.46,-25.24,43.2,2015
Sand 11,636.9,19.93,12.72,-24.9,43.76,2015
Sand 2,502.2,22.14,12.2,-25.07,42.04,2015
Sand 3,642.8,20.43,12,-24.63,40.85,2015
Sand 4,528.7,22.04,12.16,-24.72,44.89,2015
Sand 5,653.7,20.96,12.45,-25.82,42.95,2015
Sand 6,644.2,21.57,12.28,-25.04,42.92,2015
Sand 7,625.6,21.36,12.68,-24.34,43.59,2015
Sand 8,544.9,23.67,12.11,-24.73,43.03,2015
Sand 9,666.7,22.16,7.06,-25.3,24.28,2015
