Query ID,Best ID,Search DB,,
ASV_101,Lepidoptera,COI FULL DATABASE (includes records without species designation),100,92.56
ASV_102,Entomobryomorpha,COI FULL DATABASE (includes records without species designation),99.02,94.12
ASV_103,No match,COI FULL DATABASE (includes records without species designation),,
ASV_104,No match,COI FULL DATABASE (includes records without species designation),,
ASV_105,No match,COI FULL DATABASE (includes records without species designation),,
ASV_106,No match,COI FULL DATABASE (includes records without species designation),,
ASV_107,No match,COI FULL DATABASE (includes records without species designation),,
ASV_108,Neoscona theisi,COI FULL DATABASE (includes records without species designation),100,97.41
ASV_109,No match,COI FULL DATABASE (includes records without species designation),,
ASV_110,No match,COI FULL DATABASE (includes records without species designation),,
ASV_111,No match,COI FULL DATABASE (includes records without species designation),,
ASV_112,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.38,90.2
ASV_113,No match,COI FULL DATABASE (includes records without species designation),,
ASV_114,No match,COI FULL DATABASE (includes records without species designation),,
ASV_115,No match,COI FULL DATABASE (includes records without species designation),,
ASV_116,No match,COI FULL DATABASE (includes records without species designation),,
ASV_117,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_118,No match,COI FULL DATABASE (includes records without species designation),,
ASV_119,No match,COI FULL DATABASE (includes records without species designation),,
ASV_120,No match,COI FULL DATABASE (includes records without species designation),,
ASV_121,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.59
ASV_122,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),99.34,87.94
ASV_123,No match,COI FULL DATABASE (includes records without species designation),,
ASV_124,Erechthias simulans,COI FULL DATABASE (includes records without species designation),100,89.64
ASV_125,No match,COI FULL DATABASE (includes records without species designation),,
ASV_126,Dermaptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_127,No match,COI FULL DATABASE (includes records without species designation),,
ASV_128,No match,COI FULL DATABASE (includes records without species designation),,
ASV_129,No match,COI FULL DATABASE (includes records without species designation),,
ASV_130,Orthoptera,COI FULL DATABASE (includes records without species designation),99.68,83.94
ASV_131,Lepidoptera,COI FULL DATABASE (includes records without species designation),99.68,89.64
ASV_132,No match,COI FULL DATABASE (includes records without species designation),,
ASV_133,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.76
ASV_134,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.58
ASV_135,No match,COI FULL DATABASE (includes records without species designation),,
ASV_136,No match,COI FULL DATABASE (includes records without species designation),,
ASV_137,Cephalochrysa maxima,COI FULL DATABASE (includes records without species designation),100,88.35
ASV_138,No match,COI FULL DATABASE (includes records without species designation),,
ASV_139,No match,COI FULL DATABASE (includes records without species designation),,
ASV_140,No match,COI FULL DATABASE (includes records without species designation),,
ASV_141,Orthoptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_142,No match,COI FULL DATABASE (includes records without species designation),,
ASV_143,Lamprolonchaea metatarsata,COI FULL DATABASE (includes records without species designation),100,95.1
ASV_144,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),99.68,87.55
ASV_145,No match,COI FULL DATABASE (includes records without species designation),,
ASV_146,No match,COI FULL DATABASE (includes records without species designation),,
ASV_147,Diptera,COI FULL DATABASE (includes records without species designation),99.17,83.72
ASV_148,No match,COI FULL DATABASE (includes records without species designation),,
ASV_149,Coleoptera,COI FULL DATABASE (includes records without species designation),99.68,85.76
ASV_150,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),99.68,86.75
ASV_151,No match,COI FULL DATABASE (includes records without species designation),,
ASV_152,Ectopsocus sp.,COI FULL DATABASE (includes records without species designation),100,84.95
ASV_153,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.51
ASV_154,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),99.67,88.37
ASV_155,Diptera,COI FULL DATABASE (includes records without species designation),100,90.3
ASV_156,Liriomyza sativae,COI FULL DATABASE (includes records without species designation),100,100
ASV_157,No match,COI FULL DATABASE (includes records without species designation),,
ASV_158,No match,COI FULL DATABASE (includes records without species designation),,
ASV_159,Platnickina mneon,COI FULL DATABASE (includes records without species designation),100,89.97
ASV_160,No match,COI FULL DATABASE (includes records without species designation),,
ASV_161,Piletocera signiferalis,COI FULL DATABASE (includes records without species designation),100,92.88
ASV_162,No match,COI FULL DATABASE (includes records without species designation),,
ASV_163,No match,COI FULL DATABASE (includes records without species designation),,
ASV_164,Basidiomycota Insecta ,COI FULL DATABASE (includes records without species designation),100,77.12
ASV_165,No match,COI FULL DATABASE (includes records without species designation),,
ASV_166,No match,COI FULL DATABASE (includes records without species designation),,
ASV_167,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
ASV_168,Diptera,COI FULL DATABASE (includes records without species designation),100,98.08
ASV_169,No match,COI FULL DATABASE (includes records without species designation),,
ASV_170,No match,COI FULL DATABASE (includes records without species designation),,
ASV_171,No match,COI FULL DATABASE (includes records without species designation),,
ASV_172,Neurospora crassa,COI FULL DATABASE (includes records without species designation),97.41,84.04
ASV_173,Selenothrips rubrocinctus,COI FULL DATABASE (includes records without species designation),100,78.76
ASV_174,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.58
ASV_175,No match,COI FULL DATABASE (includes records without species designation),,
ASV_176,No match,COI FULL DATABASE (includes records without species designation),,
ASV_177,No match,COI FULL DATABASE (includes records without species designation),,
ASV_178,No match,COI FULL DATABASE (includes records without species designation),,
ASV_179,No match,COI FULL DATABASE (includes records without species designation),,
ASV_180,No match,COI FULL DATABASE (includes records without species designation),,
ASV_181,No match,COI FULL DATABASE (includes records without species designation),,
ASV_182,Coleoptera,COI FULL DATABASE (includes records without species designation),98.04,85.95
ASV_183,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),99.68,88.02
ASV_184,No match,COI FULL DATABASE (includes records without species designation),,
ASV_185,No match,COI FULL DATABASE (includes records without species designation),,
ASV_186,No match,COI FULL DATABASE (includes records without species designation),,
ASV_187,No match,COI FULL DATABASE (includes records without species designation),,
ASV_188,No match,COI FULL DATABASE (includes records without species designation),,
ASV_189,No match,COI FULL DATABASE (includes records without species designation),,
ASV_190,No match,COI FULL DATABASE (includes records without species designation),,
ASV_191,No match,COI FULL DATABASE (includes records without species designation),,
ASV_192,No match,COI FULL DATABASE (includes records without species designation),,
ASV_193,Nylanderia bourbonica,COI FULL DATABASE (includes records without species designation),99.68,98.38
ASV_194,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_195,No match,COI FULL DATABASE (includes records without species designation),,
ASV_196,No match,COI FULL DATABASE (includes records without species designation),,
ASV_197,Theridion melanostictum,COI FULL DATABASE (includes records without species designation),99.18,91.26
ASV_198,No match,COI FULL DATABASE (includes records without species designation),,
ASV_199,No match,COI FULL DATABASE (includes records without species designation),,
ASV_200,No match,COI FULL DATABASE (includes records without species designation),,
