Query ID,Best ID,Search DB,,
Zotu101,No match,COI FULL DATABASE (includes records without species designation),,
Zotu102,No match,COI FULL DATABASE (includes records without species designation),,
Zotu103,Wolbachia endosymbiont,COI FULL DATABASE (includes records without species designation),97.53,88.89
Zotu104,No match,COI FULL DATABASE (includes records without species designation),,
Zotu105,Orthoptera,COI FULL DATABASE (includes records without species designation),99.52,86.15
Zotu106,Pycnoscelus sp. B103,COI FULL DATABASE (includes records without species designation),100,86.08
Zotu107,Orthoptera,COI FULL DATABASE (includes records without species designation),97.73,86.36
Zotu108,No match,COI FULL DATABASE (includes records without species designation),,
Zotu109,No match,COI FULL DATABASE (includes records without species designation),,
Zotu110,No match,COI FULL DATABASE (includes records without species designation),,
Zotu111,No match,COI FULL DATABASE (includes records without species designation),,
Zotu112,Basidiomycota Insecta ,COI FULL DATABASE (includes records without species designation),98.45,76.98
Zotu113,No match,COI FULL DATABASE (includes records without species designation),,
Zotu114,No match,COI FULL DATABASE (includes records without species designation),,
Zotu115,No match,COI FULL DATABASE (includes records without species designation),,
Zotu116,No match,COI FULL DATABASE (includes records without species designation),,
Zotu117,No match,COI FULL DATABASE (includes records without species designation),,
Zotu118,Psocodea,COI FULL DATABASE (includes records without species designation),100,81.23
Zotu119,No match,COI FULL DATABASE (includes records without species designation),,
Zotu120,No match,COI FULL DATABASE (includes records without species designation),,
Zotu121,Araneae,COI FULL DATABASE (includes records without species designation),97.73,90.43
Zotu122,No match,COI FULL DATABASE (includes records without species designation),,
Zotu123,No match,COI FULL DATABASE (includes records without species designation),,
Zotu124,Orthoptera,COI FULL DATABASE (includes records without species designation),97.09,85.76
Zotu125,No match,COI FULL DATABASE (includes records without species designation),,
Zotu126,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.44
Zotu127,Lepidodactylus lugubris,COI FULL DATABASE (includes records without species designation),100,81.25
Zotu128,No match,COI FULL DATABASE (includes records without species designation),,
Zotu129,No match,COI FULL DATABASE (includes records without species designation),,
Zotu130,No match,COI FULL DATABASE (includes records without species designation),,
Zotu131,No match,COI FULL DATABASE (includes records without species designation),,
Zotu132,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.73,89.64
Zotu133,Lepidopsocus marmoratus,COI FULL DATABASE (includes records without species designation),100,87.18
Zotu134,No match,COI FULL DATABASE (includes records without species designation),,
Zotu135,No match,COI FULL DATABASE (includes records without species designation),,
Zotu136,No match,COI FULL DATABASE (includes records without species designation),,
Zotu137,Diptera,COI FULL DATABASE (includes records without species designation),100,83.41
Zotu138,No match,COI FULL DATABASE (includes records without species designation),,
Zotu139,Diploptera punctata,COI FULL DATABASE (includes records without species designation),100,82.2
Zotu140,Arthropoda Insecta ,COI FULL DATABASE (includes records without species designation),100,82.03
Zotu141,Araneae,COI FULL DATABASE (includes records without species designation),98.71,90.57
Zotu142,No match,COI FULL DATABASE (includes records without species designation),,
Zotu143,No match,COI FULL DATABASE (includes records without species designation),,
Zotu144,No match,COI FULL DATABASE (includes records without species designation),,
Zotu145,No match,COI FULL DATABASE (includes records without species designation),,
Zotu146,No match,COI FULL DATABASE (includes records without species designation),,
Zotu147,Symphypleona,COI FULL DATABASE (includes records without species designation),99.68,81.94
Zotu148,Dermaptera,COI FULL DATABASE (includes records without species designation),97.19,85.76
Zotu149,No match,COI FULL DATABASE (includes records without species designation),,
Zotu150,No match,COI FULL DATABASE (includes records without species designation),,
Zotu151,No match,COI FULL DATABASE (includes records without species designation),,
Zotu152,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),98.31,94.92
Zotu153,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.52
Zotu154,No match,COI FULL DATABASE (includes records without species designation),,
