Query ID,Best ID,Search DB,Top %,Low %
Zotu201,No match,COI FULL DATABASE (includes records without species designation),,
Zotu202,No match,COI FULL DATABASE (includes records without species designation),,
Zotu203,No match,COI FULL DATABASE (includes records without species designation),,
Zotu204,No match,COI FULL DATABASE (includes records without species designation),,
Zotu205,No match,COI FULL DATABASE (includes records without species designation),,
Zotu206,No match,COI FULL DATABASE (includes records without species designation),,
Zotu207,No match,COI FULL DATABASE (includes records without species designation),,
Zotu208,No match,COI FULL DATABASE (includes records without species designation),,
Zotu209,No match,COI FULL DATABASE (includes records without species designation),,
Zotu210,Scytodes longipes,COI FULL DATABASE (includes records without species designation),98.06,85.11
Zotu211,Basidiomycota Arachnida ,COI FULL DATABASE (includes records without species designation),100,77.12
Zotu212,No match,COI FULL DATABASE (includes records without species designation),,
Zotu213,Diptera,COI FULL DATABASE (includes records without species designation),100,99.68
Zotu214,No match,COI FULL DATABASE (includes records without species designation),,
Zotu215,No match,COI FULL DATABASE (includes records without species designation),,
Zotu216,No match,COI FULL DATABASE (includes records without species designation),,
Zotu217,No match,COI FULL DATABASE (includes records without species designation),,
Zotu218,No match,COI FULL DATABASE (includes records without species designation),,
Zotu219,No match,COI FULL DATABASE (includes records without species designation),,
Zotu220,No match,COI FULL DATABASE (includes records without species designation),,
Zotu221,No match,COI FULL DATABASE (includes records without species designation),,
Zotu222,No match,COI FULL DATABASE (includes records without species designation),,
Zotu223,No match,COI FULL DATABASE (includes records without species designation),,
Zotu224,No match,COI FULL DATABASE (includes records without species designation),,
Zotu225,No match,COI FULL DATABASE (includes records without species designation),,
Zotu226,No match,COI FULL DATABASE (includes records without species designation),,
Zotu227,No match,COI FULL DATABASE (includes records without species designation),,
Zotu228,No match,COI FULL DATABASE (includes records without species designation),,
Zotu229,No match,COI FULL DATABASE (includes records without species designation),,
Zotu230,Dactylosternum abdominale,COI FULL DATABASE (includes records without species designation),98.71,83.82
Zotu231,No match,COI FULL DATABASE (includes records without species designation),,
Zotu232,No match,COI FULL DATABASE (includes records without species designation),,
Zotu233,No match,COI FULL DATABASE (includes records without species designation),,
Zotu234,No match,COI FULL DATABASE (includes records without species designation),,
Zotu235,No match,COI FULL DATABASE (includes records without species designation),,
Zotu236,No match,COI FULL DATABASE (includes records without species designation),,
Zotu237,No match,COI FULL DATABASE (includes records without species designation),,
Zotu238,Nylanderia vividula,COI FULL DATABASE (includes records without species designation),100,91.45
Zotu239,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.73,89.64
