Query ID,Best ID,Search DB,,
ASV_501,Platnickina mneon,COI FULL DATABASE (includes records without species designation),100,89.97
ASV_502,No match,COI FULL DATABASE (includes records without species designation),,
ASV_503,No match,COI FULL DATABASE (includes records without species designation),,
ASV_504,Piletocera signiferalis,COI FULL DATABASE (includes records without species designation),100,92.88
ASV_505,Proteobacteria Insecta ,COI FULL DATABASE (includes records without species designation),99.37,98.39
ASV_506,No match,COI FULL DATABASE (includes records without species designation),,
ASV_507,Isopoda,COI FULL DATABASE (includes records without species designation),100,80.07
ASV_508,No match,COI FULL DATABASE (includes records without species designation),,
ASV_509,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.44
ASV_510,No match,COI FULL DATABASE (includes records without species designation),,
ASV_511,Saccharomyces cerevisiae YJM1527,COI FULL DATABASE (includes records without species designation),100,93.85
ASV_512,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.03,90.29
ASV_513,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.76
ASV_514,No match,COI FULL DATABASE (includes records without species designation),,
ASV_515,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_516,Diptera,COI FULL DATABASE (includes records without species designation),100,98.08
ASV_517,No match,COI FULL DATABASE (includes records without species designation),,
ASV_518,Proteobacteria Insecta ,COI FULL DATABASE (includes records without species designation),99.37,98.38
ASV_519,No match,COI FULL DATABASE (includes records without species designation),,
ASV_520,No match,COI FULL DATABASE (includes records without species designation),,
ASV_521,No match,COI FULL DATABASE (includes records without species designation),,
ASV_522,No match,COI FULL DATABASE (includes records without species designation),,
ASV_523,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_524,No match,COI FULL DATABASE (includes records without species designation),,
ASV_525,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_526,Wolbachia endosymbiont of Formicidae,COI FULL DATABASE (includes records without species designation),100,97.71
ASV_527,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_528,No match,COI FULL DATABASE (includes records without species designation),,
ASV_529,No match,COI FULL DATABASE (includes records without species designation),,
