Query ID,Best ID,Search DB,,
ASV_201,2012,COI SPECIES DATABASE,99.35,89.64
ASV_202,Heteropoda venatoria,COI SPECIES DATABASE,98.77,90.59
ASV_203,No match,COI SPECIES DATABASE,,
ASV_204,No match,COI SPECIES DATABASE,,
ASV_205,No match,COI SPECIES DATABASE,,
ASV_206,Neoscona theisi,COI SPECIES DATABASE,99.35,97.09
ASV_207,No match,COI SPECIES DATABASE,,
ASV_208,No match,COI SPECIES DATABASE,,
ASV_209,No match,COI SPECIES DATABASE,,
ASV_210,No match,COI SPECIES DATABASE,,
ASV_211,Agonoxena argaula,COI SPECIES DATABASE,100,89.24
ASV_212,No match,COI SPECIES DATABASE,,
ASV_213,No match,COI SPECIES DATABASE,,
ASV_214,No match,COI SPECIES DATABASE,,
ASV_215,No match,COI SPECIES DATABASE,,
ASV_216,No match,COI SPECIES DATABASE,,
ASV_217,Heteropoda venatoria,COI SPECIES DATABASE,99.68,90.41
ASV_218,No match,COI SPECIES DATABASE,,
ASV_219,No match,COI SPECIES DATABASE,,
ASV_220,No match,COI SPECIES DATABASE,,
ASV_221,No match,COI SPECIES DATABASE,,
ASV_222,No match,COI SPECIES DATABASE,,
ASV_223,No match,COI SPECIES DATABASE,,
ASV_224,Neurospora crassa,COI SPECIES DATABASE,97.41,83.77
ASV_225,Scytodes longipes,COI SPECIES DATABASE,98.06,84.79
ASV_226,No match,COI SPECIES DATABASE,,
ASV_227,No match,COI SPECIES DATABASE,,
ASV_228,No match,COI SPECIES DATABASE,,
ASV_229,No match,COI SPECIES DATABASE,,
ASV_230,Phisis holdhausi,COI SPECIES DATABASE,99.68,85.27
ASV_231,No match,COI SPECIES DATABASE,,
ASV_232,No match,COI SPECIES DATABASE,,
ASV_233,No match,COI SPECIES DATABASE,,
ASV_234,No match,COI SPECIES DATABASE,,
ASV_235,No match,COI SPECIES DATABASE,,
ASV_236,No match,COI SPECIES DATABASE,,
ASV_237,No match,COI SPECIES DATABASE,,
ASV_238,No match,COI SPECIES DATABASE,,
ASV_239,No match,COI SPECIES DATABASE,,
ASV_240,Heteropoda venatoria,COI SPECIES DATABASE,100,90.74
ASV_241,No match,COI SPECIES DATABASE,,
ASV_242,No match,COI SPECIES DATABASE,,
ASV_243,Scholastes lonchifer,COI SPECIES DATABASE,99.34,87.76
ASV_244,No match,COI SPECIES DATABASE,,
ASV_245,Bradysia ocellaris,COI SPECIES DATABASE,100,90.34
ASV_246,No match,COI SPECIES DATABASE,,
ASV_247,No match,COI SPECIES DATABASE,,
ASV_248,No match,COI SPECIES DATABASE,,
ASV_249,No match,COI SPECIES DATABASE,,
ASV_250,No match,COI SPECIES DATABASE,,
ASV_251,Smeringopus pallidus,COI SPECIES DATABASE,100,81.23
ASV_252,No match,COI SPECIES DATABASE,,
ASV_253,Scytodes longipes,COI SPECIES DATABASE,98.06,84.14
ASV_254,No match,COI SPECIES DATABASE,,
ASV_255,No match,COI SPECIES DATABASE,,
ASV_256,No match,COI SPECIES DATABASE,,
ASV_257,Milichiella lacteipennis,COI SPECIES DATABASE,100,91.77
ASV_258,Neoscona theisi,COI SPECIES DATABASE,99.63,96.76
ASV_259,Heteropoda venatoria,COI SPECIES DATABASE,100,90.7
ASV_260,No match,COI SPECIES DATABASE,,
ASV_261,No match,COI SPECIES DATABASE,,
ASV_262,No match,COI SPECIES DATABASE,,
ASV_263,No match,COI SPECIES DATABASE,,
ASV_264,Scytodes longipes,COI SPECIES DATABASE,98.38,85.11
ASV_265,No match,COI SPECIES DATABASE,,
ASV_266,No match,COI SPECIES DATABASE,,
ASV_267,No match,COI SPECIES DATABASE,,
ASV_268,No match,COI SPECIES DATABASE,,
ASV_269,No match,COI SPECIES DATABASE,,
ASV_270,No match,COI SPECIES DATABASE,,
ASV_271,Lepidodactylus lugubris,COI SPECIES DATABASE,100,81.25
ASV_272,No match,COI SPECIES DATABASE,,
ASV_273,No match,COI SPECIES DATABASE,,
ASV_274,No match,COI SPECIES DATABASE,,
ASV_275,No match,COI SPECIES DATABASE,,
ASV_276,No match,COI SPECIES DATABASE,,
ASV_277,No match,COI SPECIES DATABASE,,
ASV_278,No match,COI SPECIES DATABASE,,
ASV_279,No match,COI SPECIES DATABASE,,
ASV_280,No match,COI SPECIES DATABASE,,
ASV_281,No match,COI SPECIES DATABASE,,
ASV_282,No match,COI SPECIES DATABASE,,
ASV_283,No match,COI SPECIES DATABASE,,
ASV_284,Heteropoda venatoria,COI SPECIES DATABASE,99.38,90.12
ASV_285,No match,COI SPECIES DATABASE,,
ASV_286,2012,COI SPECIES DATABASE,99.68,89.97
ASV_287,No match,COI SPECIES DATABASE,,
ASV_288,No match,COI SPECIES DATABASE,,
ASV_289,No match,COI SPECIES DATABASE,,
ASV_290,No match,COI SPECIES DATABASE,,
ASV_291,No match,COI SPECIES DATABASE,,
ASV_292,No match,COI SPECIES DATABASE,,
ASV_293,No match,COI SPECIES DATABASE,,
ASV_294,Nylanderia vividula,COI SPECIES DATABASE,100,90.94
ASV_295,No match,COI SPECIES DATABASE,,
ASV_296,No match,COI SPECIES DATABASE,,
ASV_297,Heteropoda venatoria,COI SPECIES DATABASE,100,90.53
ASV_298,Cadrema pallida,COI SPECIES DATABASE,97.09,92.9
ASV_299,No match,COI SPECIES DATABASE,,
ASV_300,No match,COI SPECIES DATABASE,,
