Query ID,Best ID,Search DB,,
ASV_601,No match,COI FULL DATABASE (includes records without species designation),,
ASV_602,No match,COI FULL DATABASE (includes records without species designation),,
ASV_603,Proteobacteria  ,COI FULL DATABASE (includes records without species designation),100,98.78
ASV_604,No match,COI FULL DATABASE (includes records without species designation),,
ASV_605,No match,COI FULL DATABASE (includes records without species designation),,
ASV_606,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_607,Nylanderia bourbonica,COI FULL DATABASE (includes records without species designation),99.68,98.38
ASV_608,Dermaptera,COI FULL DATABASE (includes records without species designation),98.93,85.57
ASV_609,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_610,No match,COI FULL DATABASE (includes records without species designation),,
ASV_611,No match,COI FULL DATABASE (includes records without species designation),,
ASV_612,No match,COI FULL DATABASE (includes records without species designation),,
ASV_613,No match,COI FULL DATABASE (includes records without species designation),,
ASV_614,No match,COI FULL DATABASE (includes records without species designation),,
ASV_615,Smeringopus pallidus,COI FULL DATABASE (includes records without species designation),100,81.55
ASV_616,No match,COI FULL DATABASE (includes records without species designation),,
ASV_617,No match,COI FULL DATABASE (includes records without species designation),,
ASV_618,Theridion melanostictum,COI FULL DATABASE (includes records without species designation),99.18,91.26
ASV_619,Araneae,COI FULL DATABASE (includes records without species designation),99.33,84.79
ASV_620,No match,COI FULL DATABASE (includes records without species designation),,
ASV_621,No match,COI FULL DATABASE (includes records without species designation),,
ASV_622,No match,COI FULL DATABASE (includes records without species designation),,
ASV_623,No match,COI FULL DATABASE (includes records without species designation),,
ASV_624,No match,COI FULL DATABASE (includes records without species designation),,
ASV_625,No match,COI FULL DATABASE (includes records without species designation),,
ASV_626,No match,COI FULL DATABASE (includes records without species designation),,
ASV_627,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_628,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_629,No match,COI FULL DATABASE (includes records without species designation),,
ASV_630,No match,COI FULL DATABASE (includes records without species designation),,
ASV_631,No match,COI FULL DATABASE (includes records without species designation),,
ASV_632,No match,COI FULL DATABASE (includes records without species designation),,
ASV_633,No match,COI FULL DATABASE (includes records without species designation),,
ASV_634,Dermaptera,COI FULL DATABASE (includes records without species designation),99.3,85.11
ASV_635,No match,COI FULL DATABASE (includes records without species designation),,
ASV_636,No match,COI FULL DATABASE (includes records without species designation),,
ASV_637,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.19
ASV_638,No match,COI FULL DATABASE (includes records without species designation),,
ASV_639,Psocodea,COI FULL DATABASE (includes records without species designation),100,87.7
ASV_640,No match,COI FULL DATABASE (includes records without species designation),,
ASV_641,No match,COI FULL DATABASE (includes records without species designation),,
ASV_642,Rhodotorula taiwanensis RS1,COI FULL DATABASE (includes records without species designation),97.73,76.29
ASV_643,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_644,No match,COI FULL DATABASE (includes records without species designation),,
ASV_645,No match,COI FULL DATABASE (includes records without species designation),,
ASV_646,No match,COI FULL DATABASE (includes records without species designation),,
ASV_647,No match,COI FULL DATABASE (includes records without species designation),,
ASV_648,No match,COI FULL DATABASE (includes records without species designation),,
ASV_649,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.11
ASV_650,No match,COI FULL DATABASE (includes records without species designation),,
ASV_651,No match,COI FULL DATABASE (includes records without species designation),,
ASV_652,No match,COI FULL DATABASE (includes records without species designation),,
ASV_653,No match,COI FULL DATABASE (includes records without species designation),,
ASV_654,Periplaneta australasiae,COI FULL DATABASE (includes records without species designation),97.41,90.94
ASV_655,No match,COI FULL DATABASE (includes records without species designation),,
ASV_656,No match,COI FULL DATABASE (includes records without species designation),,
ASV_657,No match,COI FULL DATABASE (includes records without species designation),,
ASV_658,Diptera,COI FULL DATABASE (includes records without species designation),98.04,85.29
ASV_659,No match,COI FULL DATABASE (includes records without species designation),,
ASV_660,No match,COI FULL DATABASE (includes records without species designation),,
ASV_661,No match,COI FULL DATABASE (includes records without species designation),,
ASV_662,No match,COI FULL DATABASE (includes records without species designation),,
ASV_663,Echmepteryx madagascariensis,COI FULL DATABASE (includes records without species designation),100,85.88
ASV_664,Araneae,COI FULL DATABASE (includes records without species designation),97.31,84.47
ASV_665,No match,COI FULL DATABASE (includes records without species designation),,
ASV_666,No match,COI FULL DATABASE (includes records without species designation),,
ASV_667,No match,COI FULL DATABASE (includes records without species designation),,
ASV_668,No match,COI FULL DATABASE (includes records without species designation),,
ASV_669,No match,COI FULL DATABASE (includes records without species designation),,
ASV_670,No match,COI FULL DATABASE (includes records without species designation),,
ASV_671,No match,COI FULL DATABASE (includes records without species designation),,
ASV_672,No match,COI FULL DATABASE (includes records without species designation),,
ASV_673,No match,COI FULL DATABASE (includes records without species designation),,
ASV_674,Araneae,COI FULL DATABASE (includes records without species designation),97.31,85.11
ASV_675,Araneae,COI FULL DATABASE (includes records without species designation),99.66,85.44
ASV_676,Entomobryomorpha,COI FULL DATABASE (includes records without species designation),98.75,93.79
ASV_677,Nylanderia sp. CHR01,COI FULL DATABASE (includes records without species designation),100,91.59
ASV_678,No match,COI FULL DATABASE (includes records without species designation),,
ASV_679,No match,COI FULL DATABASE (includes records without species designation),,
ASV_680,No match,COI FULL DATABASE (includes records without species designation),,
ASV_681,Styringomyia didyma,COI FULL DATABASE (includes records without species designation),100,91.76
ASV_682,2017,COI FULL DATABASE (includes records without species designation),97.03,85.76
ASV_683,No match,COI FULL DATABASE (includes records without species designation),,
ASV_684,No match,COI FULL DATABASE (includes records without species designation),,
ASV_685,No match,COI FULL DATABASE (includes records without species designation),,
ASV_686,No match,COI FULL DATABASE (includes records without species designation),,
ASV_687,Diptera,COI FULL DATABASE (includes records without species designation),100,80.58
ASV_688,No match,COI FULL DATABASE (includes records without species designation),,
ASV_689,No match,COI FULL DATABASE (includes records without species designation),,
ASV_690,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_691,No match,COI FULL DATABASE (includes records without species designation),,
ASV_692,Neoscona theisi,COI FULL DATABASE (includes records without species designation),99.27,96.76
ASV_693,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.76
ASV_694,No match,COI FULL DATABASE (includes records without species designation),,
ASV_695,No match,COI FULL DATABASE (includes records without species designation),,
ASV_696,Dasyhelea ludingensis,COI FULL DATABASE (includes records without species designation),100,100
ASV_697,No match,COI FULL DATABASE (includes records without species designation),,
ASV_698,No match,COI FULL DATABASE (includes records without species designation),,
ASV_699,No match,COI FULL DATABASE (includes records without species designation),,
ASV_700,No match,COI FULL DATABASE (includes records without species designation),,
