"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at"
"1",24738,"fungi","taxon",1494,NA,"2019-03-06T16:47:01.908Z","2019-03-06T16:47:01.908Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",24739,"Entomobrya ligate","taxon",1494,5963,"2019-03-06T16:47:01.946Z","2019-03-06T16:47:01.946Z",NA,5963,"Entomobrya ligata",1602985,99689,1022839,715608,2120783,"e709a122f51219bd8c8ae3a85b02da1d","species","2019-03-06T16:46:05.402Z","2019-06-14T15:27:11.447Z"
"3",24740,"Lepidocyrtus cyaneus","taxon",1494,5964,"2019-03-06T16:47:01.992Z","2019-03-06T16:47:01.992Z",NA,5964,"Lepidocyrtus cyaneus",247612,99805,346861,96790,2120918,"f386759431721ac00fb630b5b2d5dfdf","species","2019-03-06T16:46:05.464Z","2019-06-14T15:27:11.505Z"
"4",24741,"Isotoma sensibilis","taxon",1494,5965,"2019-03-06T16:47:02.028Z","2019-03-06T16:47:02.028Z",NA,5965,"Isotoma sensibilis",NA,99381,1017578,NA,5166934,"f7a2d1b04d468eef47a71b8ededed933","species","2019-03-06T16:46:05.554Z","2019-06-14T15:27:11.562Z"
"5",24743,"Uropoda sp.","taxon",1494,5967,"2019-03-06T16:47:02.312Z","2019-03-06T16:47:02.312Z",NA,5967,"Uropoda",281632,154425,3206115,171852,NA,"ce1145c9d648fd99ed12c0dee41f59d9","genus","2019-03-06T16:46:05.668Z","2019-06-14T15:27:11.617Z"
"6",24745,"Pergamasus sp.","taxon",1494,5969,"2019-03-06T16:47:02.384Z","2019-03-06T16:47:02.384Z",NA,5969,"Pergamasus",99228,NA,4318355,645562,NA,"72e98f095abd89aca60cbcbb967198f3","genus","2019-03-06T16:46:05.778Z","2019-06-14T15:27:11.669Z"
"7",24746,"Megisthanus sp.","taxon",1494,5970,"2019-03-06T16:47:02.415Z","2019-03-06T16:47:02.415Z",NA,5970,"Megisthanidae",48836,NA,3192400,171857,NA,NA,NA,"2019-03-06T16:46:05.856Z","2019-06-14T15:27:11.724Z"
"8",24747,"Dendrolaelops sp.","taxon",1494,5971,"2019-03-06T16:47:02.444Z","2019-03-06T16:47:02.444Z",NA,5971,"Dendrolaelaps",704053,NA,3202502,645560,NA,NA,NA,"2019-03-06T16:46:05.905Z","2019-06-14T15:27:11.778Z"
"9",24749,"S. planatus","taxon",1494,5973,"2019-03-06T16:47:02.531Z","2019-03-06T16:47:02.531Z",NA,5973,"Silvanus planatus",NA,186923,1175043,718856,1043949,"bf1cf4105aa9a5891b72ce4440164405","species","2019-03-06T16:46:06.001Z","2019-06-14T15:27:11.830Z"
"10",24750,"Brontes dubius larvae","taxon",1494,5974,"2019-03-06T16:47:02.561Z","2019-03-06T16:47:02.561Z",NA,5974,"Uleiota dubius",484790,706092,1175054,751049,1043809,"6a86ffa5c69f402b06b11ccd22af0971","species","2019-03-06T16:46:06.048Z","2019-06-14T15:27:11.909Z"
"11",24751,"Megaselia sp. larvae","taxon",1494,2007,"2019-03-06T16:47:02.591Z","2019-03-06T16:47:02.591Z",NA,2007,"Megaselia",36165,139191,54927,365800,NA,"8bba2a435e39bbad632fa6e63e029975","genus","2019-02-21T22:18:13.235Z","2019-06-14T15:21:48.974Z"
