Query ID,Best ID,Search DB,Top %,Low %
Zotu701,No match,COI FULL DATABASE (includes records without species designation),,
Zotu702,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.76
Zotu703,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,86.08
Zotu704,No match,COI FULL DATABASE (includes records without species designation),,
Zotu705,No match,COI FULL DATABASE (includes records without species designation),,
Zotu706,Araneae,COI FULL DATABASE (includes records without species designation),98.39,84.85
Zotu707,No match,COI FULL DATABASE (includes records without species designation),,
Zotu708,No match,COI FULL DATABASE (includes records without species designation),,
Zotu709,No match,COI FULL DATABASE (includes records without species designation),,
Zotu710,No match,COI FULL DATABASE (includes records without species designation),,
Zotu711,Periplaneta australasiae,COI FULL DATABASE (includes records without species designation),97.38,88.35
Zotu712,Ectopsocus fullawayi,COI FULL DATABASE (includes records without species designation),99.03,84.27
Zotu713,No match,COI FULL DATABASE (includes records without species designation),,
Zotu714,No match,COI FULL DATABASE (includes records without species designation),,
Zotu715,Tyrophagus putrescentiae,COI FULL DATABASE (includes records without species designation),97.41,96.44
Zotu716,No match,COI FULL DATABASE (includes records without species designation),,
Zotu717,No match,COI FULL DATABASE (includes records without species designation),,
Zotu718,No match,COI FULL DATABASE (includes records without species designation),,
Zotu719,No match,COI FULL DATABASE (includes records without species designation),,
Zotu720,No match,COI FULL DATABASE (includes records without species designation),,
Zotu721,No match,COI FULL DATABASE (includes records without species designation),,
Zotu722,Araneae,COI FULL DATABASE (includes records without species designation),97.31,84.51
Zotu723,No match,COI FULL DATABASE (includes records without species designation),,
Zotu724,No match,COI FULL DATABASE (includes records without species designation),,
Zotu725,Basidiomycota Arachnida ,COI FULL DATABASE (includes records without species designation),100,75.73
Zotu726,No match,COI FULL DATABASE (includes records without species designation),,
Zotu727,No match,COI FULL DATABASE (includes records without species designation),,
Zotu728,No match,COI FULL DATABASE (includes records without species designation),,
Zotu729,No match,COI FULL DATABASE (includes records without species designation),,
Zotu730,No match,COI FULL DATABASE (includes records without species designation),,
Zotu731,No match,COI FULL DATABASE (includes records without species designation),,
Zotu732,No match,COI FULL DATABASE (includes records without species designation),,
Zotu733,No match,COI FULL DATABASE (includes records without species designation),,
Zotu734,No match,COI FULL DATABASE (includes records without species designation),,
Zotu735,No match,COI FULL DATABASE (includes records without species designation),,
Zotu736,No match,COI FULL DATABASE (includes records without species designation),,
Zotu737,No match,COI FULL DATABASE (includes records without species designation),,
Zotu738,Psocodea,COI FULL DATABASE (includes records without species designation),100,87.7
Zotu739,No match,COI FULL DATABASE (includes records without species designation),,
Zotu740,No match,COI FULL DATABASE (includes records without species designation),,
Zotu741,No match,COI FULL DATABASE (includes records without species designation),,
Zotu742,No match,COI FULL DATABASE (includes records without species designation),,
Zotu743,No match,COI FULL DATABASE (includes records without species designation),,
Zotu744,No match,COI FULL DATABASE (includes records without species designation),,
Zotu745,No match,COI FULL DATABASE (includes records without species designation),,
Zotu746,No match,COI FULL DATABASE (includes records without species designation),,
Zotu747,No match,COI FULL DATABASE (includes records without species designation),,
Zotu748,No match,COI FULL DATABASE (includes records without species designation),,
Zotu749,No match,COI FULL DATABASE (includes records without species designation),,
Zotu750,Dermaptera,COI FULL DATABASE (includes records without species designation),97.18,85.06
Zotu751,No match,COI FULL DATABASE (includes records without species designation),,
Zotu752,No match,COI FULL DATABASE (includes records without species designation),,
Zotu753,No match,COI FULL DATABASE (includes records without species designation),,
Zotu754,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,85.44
Zotu755,No match,COI FULL DATABASE (includes records without species designation),,
Zotu756,No match,COI FULL DATABASE (includes records without species designation),,
Zotu757,No match,COI FULL DATABASE (includes records without species designation),,
Zotu758,Chrysotus cockerellae,COI FULL DATABASE (includes records without species designation),100,91.36
Zotu759,No match,COI FULL DATABASE (includes records without species designation),,
Zotu760,No match,COI FULL DATABASE (includes records without species designation),,
Zotu761,No match,COI FULL DATABASE (includes records without species designation),,
Zotu762,Orthoptera,COI FULL DATABASE (includes records without species designation),97.09,86.55
Zotu763,2017,COI FULL DATABASE (includes records without species designation),97.03,85.76
Zotu764,No match,COI FULL DATABASE (includes records without species designation),,
Zotu765,No match,COI FULL DATABASE (includes records without species designation),,
Zotu766,No match,COI FULL DATABASE (includes records without species designation),,
Zotu767,No match,COI FULL DATABASE (includes records without species designation),,
Zotu768,No match,COI FULL DATABASE (includes records without species designation),,
Zotu769,No match,COI FULL DATABASE (includes records without species designation),,
Zotu770,No match,COI FULL DATABASE (includes records without species designation),,
Zotu771,Dermaptera,COI FULL DATABASE (includes records without species designation),97.89,85.11
Zotu772,No match,COI FULL DATABASE (includes records without species designation),,
Zotu773,No match,COI FULL DATABASE (includes records without species designation),,
Zotu774,Araneae,COI FULL DATABASE (includes records without species designation),98.88,82.03
Zotu775,No match,COI FULL DATABASE (includes records without species designation),,
Zotu776,No match,COI FULL DATABASE (includes records without species designation),,
Zotu777,No match,COI FULL DATABASE (includes records without species designation),,
Zotu778,No match,COI FULL DATABASE (includes records without species designation),,
Zotu779,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.58,89.61
Zotu780,No match,COI FULL DATABASE (includes records without species designation),,
Zotu781,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,84.79
Zotu782,No match,COI FULL DATABASE (includes records without species designation),,
Zotu783,No match,COI FULL DATABASE (includes records without species designation),,
Zotu784,No match,COI FULL DATABASE (includes records without species designation),,
Zotu785,No match,COI FULL DATABASE (includes records without species designation),,
Zotu786,No match,COI FULL DATABASE (includes records without species designation),,
Zotu787,No match,COI FULL DATABASE (includes records without species designation),,
Zotu788,No match,COI FULL DATABASE (includes records without species designation),,
Zotu789,No match,COI FULL DATABASE (includes records without species designation),,
Zotu790,Aspergillus niger,COI FULL DATABASE (includes records without species designation),100,90.4
Zotu791,No match,COI FULL DATABASE (includes records without species designation),,
Zotu792,No match,COI FULL DATABASE (includes records without species designation),,
Zotu793,No match,COI FULL DATABASE (includes records without species designation),,
Zotu794,No match,COI FULL DATABASE (includes records without species designation),,
Zotu795,No match,COI FULL DATABASE (includes records without species designation),,
Zotu796,No match,COI FULL DATABASE (includes records without species designation),,
Zotu797,No match,COI FULL DATABASE (includes records without species designation),,
Zotu798,No match,COI FULL DATABASE (includes records without species designation),,
Zotu799,No match,COI FULL DATABASE (includes records without species designation),,
Zotu800,Scytodes longipes,COI FULL DATABASE (includes records without species designation),97.41,84.79
