Query ID,Best ID,Search DB,,
Zotu1101,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1102,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1103,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1104,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1105,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1106,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1107,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1108,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1109,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1110,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1111,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1112,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1113,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1114,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1115,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1116,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1117,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1118,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1119,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1120,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1121,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1122,Araneae,COI FULL DATABASE (includes records without species designation),97.98,85.44
Zotu1123,Orthoptera,COI FULL DATABASE (includes records without species designation),98.06,86.42
Zotu1124,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1125,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1126,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1127,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1128,Dermaptera,COI FULL DATABASE (includes records without species designation),97.54,86.08
Zotu1129,Dermaptera,COI FULL DATABASE (includes records without species designation),98.23,86.27
Zotu1130,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1131,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1132,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1133,Ascomycota Insecta ,COI FULL DATABASE (includes records without species designation),100,84.18
Zotu1134,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1135,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1136,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1137,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1138,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1139,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1140,Diptera,COI FULL DATABASE (includes records without species designation),100,92.88
Zotu1141,Diptera,COI FULL DATABASE (includes records without species designation),99.67,99.67
Zotu1142,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1143,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1144,Diptera,COI FULL DATABASE (includes records without species designation),99.35,97.26
Zotu1145,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1146,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1147,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1148,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1149,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1150,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1151,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1152,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1153,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1154,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1155,Coleoptera,COI FULL DATABASE (includes records without species designation),100,90.61
Zotu1156,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1157,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1158,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1159,Fusarium proliferatum,COI FULL DATABASE (includes records without species designation),100,85.67
Zotu1160,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1161,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1162,Salmo salar,COI FULL DATABASE (includes records without species designation),100,100
Zotu1163,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1164,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1165,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1166,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1167,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1168,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1169,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1170,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1171,Araneae,COI FULL DATABASE (includes records without species designation),99.35,84.89
Zotu1172,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1173,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1174,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1175,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1176,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1177,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1178,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1179,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1180,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1181,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1182,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1183,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1184,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1185,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1186,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1187,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1188,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1189,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1190,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1191,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1192,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1193,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1194,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1195,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1196,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1197,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1198,No match,COI FULL DATABASE (includes records without species designation),,
Zotu1199,Ornebius novarae,COI FULL DATABASE (includes records without species designation),99.01,83.51
Zotu1200,No match,COI FULL DATABASE (includes records without species designation),,
