Query ID,Best ID,Search DB,,
ASV_301,No match,COI FULL DATABASE (includes records without species designation),,
ASV_302,No match,COI FULL DATABASE (includes records without species designation),,
ASV_303,No match,COI FULL DATABASE (includes records without species designation),,
ASV_304,No match,COI FULL DATABASE (includes records without species designation),,
ASV_305,No match,COI FULL DATABASE (includes records without species designation),,
ASV_306,No match,COI FULL DATABASE (includes records without species designation),,
ASV_307,No match,COI FULL DATABASE (includes records without species designation),,
ASV_308,No match,COI FULL DATABASE (includes records without species designation),,
ASV_309,No match,COI FULL DATABASE (includes records without species designation),,
ASV_310,No match,COI FULL DATABASE (includes records without species designation),,
ASV_311,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.67,91.15
ASV_312,No match,COI FULL DATABASE (includes records without species designation),,
ASV_313,No match,COI FULL DATABASE (includes records without species designation),,
ASV_314,Ponera swezeyi,COI FULL DATABASE (includes records without species designation),100,100
ASV_315,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,89.96
ASV_316,No match,COI FULL DATABASE (includes records without species designation),,
ASV_317,Mus musculus,COI FULL DATABASE (includes records without species designation),99.28,98.71
ASV_318,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_319,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_320,No match,COI FULL DATABASE (includes records without species designation),,
ASV_321,No match,COI FULL DATABASE (includes records without species designation),,
ASV_322,No match,COI FULL DATABASE (includes records without species designation),,
ASV_323,No match,COI FULL DATABASE (includes records without species designation),,
ASV_324,No match,COI FULL DATABASE (includes records without species designation),,
ASV_325,Proteobacteria Mammalia ,COI FULL DATABASE (includes records without species designation),99.37,98.39
ASV_326,No match,COI FULL DATABASE (includes records without species designation),,
ASV_327,No match,COI FULL DATABASE (includes records without species designation),,
ASV_328,No match,COI FULL DATABASE (includes records without species designation),,
ASV_329,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.02
ASV_330,Araneae,COI FULL DATABASE (includes records without species designation),99.33,84.85
ASV_331,No match,COI FULL DATABASE (includes records without species designation),,
ASV_332,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_333,No match,COI FULL DATABASE (includes records without species designation),,
ASV_334,No match,COI FULL DATABASE (includes records without species designation),,
ASV_335,No match,COI FULL DATABASE (includes records without species designation),,
ASV_336,No match,COI FULL DATABASE (includes records without species designation),,
ASV_337,Mus musculus,COI FULL DATABASE (includes records without species designation),100,99.34
ASV_338,No match,COI FULL DATABASE (includes records without species designation),,
ASV_339,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.52
ASV_340,No match,COI FULL DATABASE (includes records without species designation),,
ASV_341,No match,COI FULL DATABASE (includes records without species designation),,
ASV_342,No match,COI FULL DATABASE (includes records without species designation),,
ASV_343,No match,COI FULL DATABASE (includes records without species designation),,
ASV_344,No match,COI FULL DATABASE (includes records without species designation),,
ASV_345,No match,COI FULL DATABASE (includes records without species designation),,
ASV_346,Orthoptera,COI FULL DATABASE (includes records without species designation),100,86.07
ASV_347,Sula sula,COI FULL DATABASE (includes records without species designation),100,88.35
ASV_348,No match,COI FULL DATABASE (includes records without species designation),,
ASV_349,No match,COI FULL DATABASE (includes records without species designation),,
ASV_350,No match,COI FULL DATABASE (includes records without species designation),,
ASV_351,No match,COI FULL DATABASE (includes records without species designation),,
ASV_352,No match,COI FULL DATABASE (includes records without species designation),,
ASV_353,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_354,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_355,No match,COI FULL DATABASE (includes records without species designation),,
ASV_356,No match,COI FULL DATABASE (includes records without species designation),,
ASV_357,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_358,No match,COI FULL DATABASE (includes records without species designation),,
ASV_359,No match,COI FULL DATABASE (includes records without species designation),,
ASV_360,No match,COI FULL DATABASE (includes records without species designation),,
ASV_361,No match,COI FULL DATABASE (includes records without species designation),,
ASV_362,No match,COI FULL DATABASE (includes records without species designation),,
ASV_363,No match,COI FULL DATABASE (includes records without species designation),,
ASV_364,No match,COI FULL DATABASE (includes records without species designation),,
ASV_365,No match,COI FULL DATABASE (includes records without species designation),,
ASV_366,No match,COI FULL DATABASE (includes records without species designation),,
ASV_367,No match,COI FULL DATABASE (includes records without species designation),,
ASV_368,Pycnoscelus indicus,COI FULL DATABASE (includes records without species designation),97.41,86.08
ASV_369,No match,COI FULL DATABASE (includes records without species designation),,
ASV_370,No match,COI FULL DATABASE (includes records without species designation),,
ASV_371,No match,COI FULL DATABASE (includes records without species designation),,
ASV_372,No match,COI FULL DATABASE (includes records without species designation),,
ASV_373,No match,COI FULL DATABASE (includes records without species designation),,
ASV_374,No match,COI FULL DATABASE (includes records without species designation),,
ASV_375,No match,COI FULL DATABASE (includes records without species designation),,
ASV_376,No match,COI FULL DATABASE (includes records without species designation),,
ASV_377,No match,COI FULL DATABASE (includes records without species designation),,
ASV_378,No match,COI FULL DATABASE (includes records without species designation),,
ASV_379,No match,COI FULL DATABASE (includes records without species designation),,
ASV_380,No match,COI FULL DATABASE (includes records without species designation),,
ASV_381,No match,COI FULL DATABASE (includes records without species designation),,
ASV_382,Mus musculus,COI FULL DATABASE (includes records without species designation),99.64,99.03
ASV_383,No match,COI FULL DATABASE (includes records without species designation),,
ASV_384,No match,COI FULL DATABASE (includes records without species designation),,
ASV_385,No match,COI FULL DATABASE (includes records without species designation),,
ASV_386,No match,COI FULL DATABASE (includes records without species designation),,
ASV_387,No match,COI FULL DATABASE (includes records without species designation),,
ASV_388,No match,COI FULL DATABASE (includes records without species designation),,
ASV_389,Saccharomyces cerevisiae YJM1527,COI FULL DATABASE (includes records without species designation),100,93.85
ASV_390,No match,COI FULL DATABASE (includes records without species designation),,
ASV_391,No match,COI FULL DATABASE (includes records without species designation),,
ASV_392,No match,COI FULL DATABASE (includes records without species designation),,
ASV_393,No match,COI FULL DATABASE (includes records without species designation),,
ASV_394,No match,COI FULL DATABASE (includes records without species designation),,
ASV_395,No match,COI FULL DATABASE (includes records without species designation),,
ASV_396,No match,COI FULL DATABASE (includes records without species designation),,
ASV_397,Pheidole megacephala,COI FULL DATABASE (includes records without species designation),100,100
ASV_398,Fusarium proliferatum,COI FULL DATABASE (includes records without species designation),100,85.67
ASV_399,No match,COI FULL DATABASE (includes records without species designation),,
ASV_400,No match,COI FULL DATABASE (includes records without species designation),,
