Query ID,Best ID,Search DB,,
ASV_1,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_2,No match,COI FULL DATABASE (includes records without species designation),,
ASV_3,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_4,Scholastes lonchifer,COI FULL DATABASE (includes records without species designation),100,88.45
ASV_5,Anisolabis maritima,COI FULL DATABASE (includes records without species designation),100,88.03
ASV_6,2012,COI FULL DATABASE (includes records without species designation),99.68,90.29
ASV_7,No match,COI FULL DATABASE (includes records without species designation),,
ASV_8,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),97.75,90.91
ASV_9,No match,COI FULL DATABASE (includes records without species designation),,
ASV_10,No match,COI FULL DATABASE (includes records without species designation),,
ASV_11,No match,COI FULL DATABASE (includes records without species designation),,
ASV_12,Hasarius adansoni,COI FULL DATABASE (includes records without species designation),100,89.64
ASV_13,Araneae,COI FULL DATABASE (includes records without species designation),98.06,90.42
ASV_14,No match,COI FULL DATABASE (includes records without species designation),,
ASV_15,Pycnoscelus sp. B103,COI FULL DATABASE (includes records without species designation),100,86.73
ASV_16,No match,COI FULL DATABASE (includes records without species designation),,
ASV_17,No match,COI FULL DATABASE (includes records without species designation),,
ASV_18,Periplaneta australasiae,COI FULL DATABASE (includes records without species designation),100,92.23
ASV_19,2012,COI FULL DATABASE (includes records without species designation),100,90.61
ASV_20,Pycnoscelus surinamensis,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_21,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.57
ASV_22,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_23,No match,COI FULL DATABASE (includes records without species designation),,
ASV_24,Dermaptera,COI FULL DATABASE (includes records without species designation),99.65,85.51
ASV_25,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
ASV_26,Dermaptera,COI FULL DATABASE (includes records without species designation),100,85.76
ASV_27,Blattodea,COI FULL DATABASE (includes records without species designation),100,84.77
ASV_28,No match,COI FULL DATABASE (includes records without species designation),,
ASV_29,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.95
ASV_30,No match,COI FULL DATABASE (includes records without species designation),,
ASV_31,Araneae,COI FULL DATABASE (includes records without species designation),98.71,90.57
ASV_32,Araneae,COI FULL DATABASE (includes records without species designation),97.73,90.43
ASV_33,2012,COI FULL DATABASE (includes records without species designation),100,90.6
ASV_34,Conoderus pallipes,COI FULL DATABASE (includes records without species designation),100,87.15
ASV_35,No match,COI FULL DATABASE (includes records without species designation),,
ASV_36,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),100,90.94
ASV_37,No match,COI FULL DATABASE (includes records without species designation),,
ASV_38,Penicillium citrinum,COI FULL DATABASE (includes records without species designation),98.31,94.92
ASV_39,No match,COI FULL DATABASE (includes records without species designation),,
ASV_40,No match,COI FULL DATABASE (includes records without species designation),,
ASV_41,No match,COI FULL DATABASE (includes records without species designation),,
ASV_42,No match,COI FULL DATABASE (includes records without species designation),,
ASV_43,No match,COI FULL DATABASE (includes records without species designation),,
ASV_44,No match,COI FULL DATABASE (includes records without species designation),,
ASV_45,No match,COI FULL DATABASE (includes records without species designation),,
ASV_46,Heteropoda venatoria,COI FULL DATABASE (includes records without species designation),99.68,90.53
