Class,Family,Order,Group,Collection_Method,Plant,Date_Collected,Island,Site,Working_Name,Species_Name,Stage,Sex,Length_mm,Width_mm,Height_mm,Shape,Pi,Volume_mm3,Volume_ml,Mass_g,Mass_mg,Total_Mass_mg,Difference_Mass_Wieght,Femur.length.mm,Femur.width.mm,Femur.height.mm,Tibia.length.mm,Tibia.width.mm,Tibia.height.mm,Scale_Weight_mg,Scale,Box.Number,Column,Row,Notes,Measurer,Femur_Vol_mm3,Femur_Vol_ml,Femur_Mass_g,Femur_Mass_mg,Tibia_Vol_mm3,Tibia_Vol_ml,Tibia_Mass_g,Tibia_Mass_mg
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Cocos and Pandanus,,Eastern,PF2,Amph.2,Amphipod_sp_2,Adult,,1.2,0.4,0.4,Ellipsoid,3.141592,0.100530944,0.000100531,0.000110584,0.110584038,0.110584038,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,PF2,Amph.2,Amphipod_sp_2,Adult,,1.6,0.3,0.3,Ellipsoid,3.141592,0.075398208,7.54E-05,8.29E-05,0.082938029,0.082938029,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,PF2,Amph.2,Amphipod_sp_2,Adult,,1.8,0.4,0.4,Ellipsoid,3.141592,0.150796416,0.000150796,0.000165876,0.165876058,0.165876058,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Veg,Litter,,Cooper,PF2,Amph.2,Amphipod_sp_2,Adult,,2.2,0.5,0.5,Ellipsoid,3.141592,0.287979267,0.000287979,0.000316777,0.316777193,0.316777193,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro ,Soil,,Cooper,HI4,Amph.2,Amphipod_sp_2,Adult,,2.9,0.6,0.6,Ellipsoid,3.141592,0.546637008,0.000546637,0.000601301,0.601300709,0.601300709,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Cocos Litter,,Holei,ST1,Amph.2,Amphipod_sp_2,Adult,,3.1,0.5,0.5,Ellipsoid,3.141592,0.405788967,0.000405789,0.000446368,0.446367863,0.446367863,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Bui Box,Litter,,Eastern ,PF5,Amph.2,Amphipod_sp_2,Adult,,3.2,0.8,0.9,Ellipsoid,3.141592,1.206371328,0.001206371,0.001327008,1.327008461,1.327008461,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Cooper,HI5,Amph.2,Amphipod_sp_2,Adult,,3.2,0.7,0.9,Ellipsoid,3.141592,1.055574912,0.001055575,0.001161132,1.161132403,1.161132403,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Veg,Litter,,Cooper,PF2,Amph.2,Amphipod_sp_2,Adult,,3.3,0.6,0.9,Ellipsoid,3.141592,0.933052824,0.000933053,0.001026358,1.026358106,1.026358106,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
Malacostraca,,Amphipoda,Amphipoda,Macro,Soil,,Eastern,CN5,Amph.2,Amphipod_sp_2,Adult,,3.3,0.8,0.9,Ellipsoid,3.141592,1.244070432,0.00124407,0.001368477,1.368477475,1.368477475,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
