ASV,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_3,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_5,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_43,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_49,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_102,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_131,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_153,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_245,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_289,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_713,d__Eukaryota,p__Arthropoda,c__Arachnida,o__Araneae,f__Pholcidae,g__Smeringopus,s__Smeringopus pallidus
ASV_498,d__Eukaryota,p__Arthropoda,,,,,s__Arthropoda environmental sample
ASV_4,d__Eukaryota,p__Arthropoda,,,,,
ASV_32,d__Eukaryota,p__Arthropoda,,,,,
ASV_73,d__Eukaryota,p__Arthropoda,,,,,
ASV_93,d__Eukaryota,p__Arthropoda,,,,,
ASV_34,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_50,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_57,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_61,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_100,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_218,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_701,d__Eukaryota,p__Arthropoda,c__Chilopoda,,,,
ASV_18,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,,,
ASV_55,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Himantariidae,g__Stigmatogaster,s__Stigmatogaster souletina
ASV_215,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Himantariidae,g__Stigmatogaster,s__Stigmatogaster souletina
ASV_9,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_30,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_31,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_35,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_37,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_40,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_44,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_48,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_53,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_62,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_64,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_65,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_66,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_70,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_74,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_75,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_77,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_79,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_82,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_85,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_86,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_88,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_89,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_92,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_98,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_104,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_109,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_110,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_121,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_127,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_128,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_135,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_151,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_154,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_164,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_180,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_186,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_191,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_192,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_198,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_203,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_210,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_258,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_295,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_308,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_320,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_327,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_361,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_367,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_482,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_760,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Mecistocephalus,s__Mecistocephalus guildingii
ASV_6,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Tygarrup,s__Tygarrup javanicus
ASV_14,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Tygarrup,s__Tygarrup javanicus
ASV_20,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Tygarrup,s__Tygarrup javanicus
ASV_562,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Mecistocephalidae,g__Tygarrup,s__Tygarrup javanicus
ASV_535,d__Eukaryota,p__Arthropoda,c__Chilopoda,o__Geophilomorpha,f__Oryidae,g__Orphnaeus,s__Orphnaeus brevilabiatus
ASV_133,d__Eukaryota,p__Arthropoda,c__Malacostraca,o__Isopoda,f__Philosciidae,g__Anchiphiloscia,s__Anchiphiloscia pilosa
ASV_78,d__Eukaryota,p__Arthropoda,,,,,
ASV_179,d__Eukaryota,p__Arthropoda,,,,,
ASV_372,d__Eukaryota,p__Arthropoda,c__Collembola,,,,
ASV_717,d__Eukaryota,p__Arthropoda,c__Collembola,o__Entomobryomorpha,,,
ASV_45,d__Eukaryota,p__Arthropoda,c__Collembola,o__Entomobryomorpha,f__Entomobryidae,g__Homidia,
ASV_699,d__Eukaryota,p__Arthropoda,c__Collembola,o__Entomobryomorpha,f__Entomobryidae,g__Homidia,
ASV_46,d__Eukaryota,p__Arthropoda,c__Collembola,o__Entomobryomorpha,f__Isotomidae,,s__Isotomidae sp. DPCOL102537
ASV_649,d__Eukaryota,p__Arthropoda,c__Collembola,o__Entomobryomorpha,f__Isotomidae,,s__Isotomidae sp. DPCOL102537
ASV_688,d__Eukaryota,p__Arthropoda,c__Collembola,o__Symphypleona,f__Sminthuridae,,s__Sminthuridae sp. DPCOL44194
ASV_11,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_114,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_124,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_145,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_159,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_187,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_243,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_247,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_249,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_273,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_326,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_597,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_715,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_13,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_120,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_234,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_453,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_753,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_39,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_83,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_176,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_177,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_269,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_684,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_686,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_714,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_745,d__Eukaryota,p__Arthropoda,c__Insecta,,,,
ASV_385,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,
ASV_711,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,s__Lepidoptera sp. BOLD:AAC1583
ASV_41,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,s__Lepidoptera sp. sc_07152
ASV_229,d__Eukaryota,p__Arthropoda,c__Insecta,o__Lepidoptera,,,s__Lepidoptera sp. sc_07152
ASV_447,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,,,
ASV_91,d__Eukaryota,p__Arthropoda,c__Insecta,o__Coleoptera,f__Elateridae,g__Conoderus,s__Conoderus pallipes
ASV_702,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,,,
ASV_81,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Platystomatidae,g__Scholastes,s__Scholastes lonchifer
ASV_174,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Platystomatidae,g__Scholastes,s__Scholastes lonchifer
ASV_157,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,,,
ASV_519,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Cecidomyiidae,,
ASV_220,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Culicidae,g__Culex,s__Culex univittatus
ASV_668,d__Eukaryota,p__Arthropoda,c__Insecta,o__Diptera,f__Culicidae,g__Culex,s__Culex univittatus
ASV_545,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,,,
ASV_672,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,,,
ASV_454,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Linepithema,s__Linepithema humile
ASV_275,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_353,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_397,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_414,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_516,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_517,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_643,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pheidole,
ASV_314,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Ponera <ants>,
ASV_504,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pseudomyrmex,s__Pseudomyrmex gracilis
ASV_523,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pseudomyrmex,s__Pseudomyrmex gracilis
ASV_579,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pseudomyrmex,s__Pseudomyrmex gracilis
ASV_712,d__Eukaryota,p__Arthropoda,c__Insecta,o__Hymenoptera,f__Formicidae,g__Pseudomyrmex,s__Pseudomyrmex gracilis
