Query ID,Best ID,Search DB,,
ASV_1701,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1702,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1703,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1704,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1705,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1706,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1707,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1708,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1709,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1710,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1711,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1712,Orthoptera,COI FULL DATABASE (includes records without species designation),98.84,86.11
ASV_1713,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1714,Orthoptera,COI FULL DATABASE (includes records without species designation),99.39,85.48
ASV_1715,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1716,Orthoptera,COI FULL DATABASE (includes records without species designation),99.52,86
ASV_1717,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1718,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1719,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1720,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1721,Orthoptera,COI FULL DATABASE (includes records without species designation),99.39,85.71
ASV_1722,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1723,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1724,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1725,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1726,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1727,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1728,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1729,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1730,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1731,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1732,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1733,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1734,Orthoptera,COI FULL DATABASE (includes records without species designation),98.57,84.74
ASV_1735,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1736,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1737,No match,COI FULL DATABASE (includes records without species designation),,
ASV_1738,No match,COI FULL DATABASE (includes records without species designation),,
